publish_date,weekday,week,slot,slot_job,brief_id,brief_file,output_file,working_h1,primary_query,content_type,status,drafted_on,reviewed_by,published_on,quality_passed_on,image_generated_on,notes
2026-09-07,Mon,01,A,the money question,01A,briefs/2026-09-07-china-social-media-marketing-cost.md,output/china-social-media-marketing-cost.md,How much does China social media marketing cost in 2026,china social media marketing cost,Pillar,published,2026-09-03,,2026-09-04,2026-09-03,2026-09-03,"Forced test run 2026-09-03, publish_date ignored. Two figures cut as unsourced (Douyin and Xiaohongshu ad first deposits; agency retainer market ranges). Meta description rewritten within ceiling. See logs/2026-09-03.md. Published 2026-09-04 in a forced test run (publish_date ignored): first publish attempt cut off by an authentication error after the five posts were created, resumed and completed the same day (deep-translate three passes on FR, ZH, DE, ES, build and check passed, pushed). Hero regenerated Sept 4 under the China image rule. See logs/2026-09-04.md."
2026-09-08,Tue,01,B,platform depth,01B,briefs/2026-09-08-xiaohongshu-marketing-foreign-brands.md,output/xiaohongshu-marketing-foreign-brands.md,Xiaohongshu marketing for foreign brands: the complete 2026 guide,xiaohongshu marketing foreign brands,Cluster guide,not_started,,,,,,
2026-09-10,Thu,01,C,audience piece,01C,briefs/2026-09-10-first-90-days-china-social-media.md,output/first-90-days-china-social-media.md,"Your first 90 days on Chinese social, week by week",how to start social media marketing in china,Audience,not_started,,,,,,
2026-09-11,Fri,01,D,vertical or teardown,01D,briefs/2026-09-11-beauty-skincare.md,output/beauty-skincare.md,Beauty and skincare marketing in China,beauty marketing agency china,Industry page,not_started,,,,,,
2026-09-14,Mon,02,A,the money question,02A,briefs/2026-09-14-xiaohongshu-marketing-cost.md,output/xiaohongshu-marketing-cost.md,Xiaohongshu marketing cost: what brands actually pay in 2026,xiaohongshu marketing cost,Cost page,not_started,,,,,,
2026-09-15,Tue,02,B,platform depth,02B,briefs/2026-09-15-xiaohongshu-algorithm.md,output/xiaohongshu-algorithm.md,How the Xiaohongshu algorithm works in 2026,xiaohongshu algorithm,Cluster guide,not_started,,,,,,
2026-09-17,Thu,02,C,audience piece,02C,briefs/2026-09-17-xiaohongshu-account-not-growing.md,output/xiaohongshu-account-not-growing.md,Seven reasons your Xiaohongshu account stopped growing,xiaohongshu account not growing,Audience,not_started,,,,,,
2026-09-18,Fri,02,D,vertical or teardown,02D,briefs/2026-09-18-fashion-apparel.md,output/fashion-apparel.md,Fashion and apparel marketing in China,fashion marketing agency china,Industry page,not_started,,,,,,
2026-09-21,Mon,03,A,the money question,03A,briefs/2026-09-21-china-agency-pricing-models.md,output/china-agency-pricing-models.md,"Retainer, project or fixed price: how China agencies actually bill you",china marketing agency pricing,Cost page,not_started,,,,,,
2026-09-22,Tue,03,B,platform depth,03B,briefs/2026-09-22-xiaohongshu-business-account-setup.md,output/xiaohongshu-business-account-setup.md,"Xiaohongshu business account setup for foreign companies, step by step",xiaohongshu business account setup,Operational how-to,not_started,,,,,,
